State,Prevalence,95% CI
Alabama,42.7,"(31.4, 54.8)"
Alaska,38.3,"(35.1, 41.6)"
Arizona,50.5,"(45.7, 55.3)"
Arkansas,42.7,"(34.7, 51.2)"
California,41.8,"(33.0, 51.3)"
Colorado,35.5,"(28.2, 43.5)"
Connecticut,35.5,"(22.8, 50.7)"
Delaware,25.1,"(13.5, 41.9)"
District of Columbia,Insufficient data*,Insufficient data*
Florida,36.7,"(26.7, 48.1)"
Georgia,22.3,"(13.6, 34.3)"
Guam,Insufficient data*,Insufficient data*
Hawaii,25.7,"(13.7, 42.9)"
Idaho,45.3,"(35.4, 55.7)"
Illinois,34.6,"(23.3, 48.0)"
Indiana,30.4,"(22.5, 39.7)"
Iowa,50.6,"(37.9, 63.3)"
Kansas,43.2,"(36.4, 50.3)"
Kentucky,Insufficient data*,Insufficient data*
Louisiana,36.5,"(28.3, 45.5)"
Maine,42.1,"(34.7, 49.8)"
Maryland,29.7,"(21.9, 39.0)"
Massachusetts,33.0,"(22.4, 45.7)"
Michigan,37.1,"(27.6, 47.8)"
Minnesota,44.6,"(38.2, 51.2)"
Mississippi,38.5,"(24.6, 54.5)"
Missouri,36.2,"(27.2, 46.2)"
Montana,41.2,"(37.4, 45.2)"
Nebraska,41.8,"(33.8, 50.2)"
Nevada,35.5,"(24.0, 48.9)"
New Hampshire,37.0,"(23.5, 52.8)"
New Jersey,Insufficient data*,Insufficient data*
New Mexico,40.9,"(35.9, 46.1)"
New York,35.9,"(26.5, 46.5)"
North Carolina,35.7,"(27.9, 44.2)"
North Dakota,46.6,"(40.8, 52.5)"
Ohio,33.1,"(23.5, 44.3)"
Oklahoma,42.9,"(39.8, 46.2)"
Oregon,45.6,"(36.1, 55.4)"
Pennsylvania,Insufficient data*,Insufficient data*
Puerto Rico,Insufficient data*,Insufficient data*
Rhode Island,39.2,"(26.6, 53.5)"
South Carolina,31.8,"(23.6, 41.2)"
South Dakota,41.3,"(34.6, 48.2)"
Tennessee,Insufficient data*,Insufficient data*
Texas,43.8,"(31.3, 57.1)"
Utah,40.5,"(33.0, 48.4)"
Vermont,36.2,"(25.3, 48.7)"
Virgin Islands,Insufficient data*,Insufficient data*
Virginia,33.2,"(23.3, 44.9)"
Washington,44.1,"(39.7, 48.6)"
West Virginia,52.7,"(40.0, 65.0)"
Wisconsin,48.2,"(41.0, 55.5)"
Wyoming,44.1,"(34.6, 54.0)"
