State,Prevalence,95% CI
Alabama,11.6,"(6.4, 20.3)"
Alaska,21.8,"(16.5, 28.2)"
Arizona,14.5,"(10.6, 19.7)"
Arkansas,13.7,"(7.9, 22.8)"
California,12.7,"(10.9, 14.8)"
Colorado,11.0,"(8.1, 14.9)"
Connecticut,11.8,"(8.6, 16.0)"
Delaware,16.0,"(10.7, 23.4)"
District of Columbia,11.0,"(7.3, 16.1)"
Florida,13.1,"(8.3, 20.0)"
Georgia,14.9,"(10.8, 20.2)"
Guam,17.8,"(14.2, 22.0)"
Hawaii,18.7,"(17.3, 20.2)"
Idaho,Insufficient data*,Insufficient data*
Illinois,11.6,"(9.2, 14.6)"
Indiana,11.0,"(7.7, 15.6)"
Iowa,12.4,"(8.4, 17.7)"
Kansas,13.2,"(9.4, 18.2)"
Kentucky,Insufficient data*,Insufficient data*
Louisiana,13.4,"(8.2, 21.0)"
Maine,Insufficient data*,Insufficient data*
Maryland,12.7,"(10.5, 15.4)"
Massachusetts,11.6,"(9.3, 14.4)"
Michigan,11.3,"(8.3, 15.4)"
Minnesota,20.3,"(17.4, 23.6)"
Mississippi,Insufficient data*,Insufficient data*
Missouri,14.4,"(9.8, 20.8)"
Montana,Insufficient data*,Insufficient data*
Nebraska,14.8,"(10.2, 21.1)"
Nevada,22.5,"(15.4, 31.7)"
New Hampshire,9.0,"(5.7, 14.1)"
New Jersey,14.0,"(11.7, 16.8)"
New Mexico,Insufficient data*,Insufficient data*
New York,14.5,"(12.7, 16.6)"
North Carolina,11.6,"(7.7, 17.1)"
North Dakota,17.2,"(10.6, 26.8)"
Ohio,13.7,"(9.7, 18.8)"
Oklahoma,10.5,"(6.9, 15.6)"
Oregon,14.7,"(11.2, 19.2)"
Pennsylvania,Insufficient data*,Insufficient data*
Puerto Rico,Insufficient data*,Insufficient data*
Rhode Island,15.2,"(10.6, 21.2)"
South Carolina,7.7,"(4.5, 12.9)"
South Dakota,Insufficient data*,Insufficient data*
Tennessee,Insufficient data*,Insufficient data*
Texas,13.6,"(10.2, 17.8)"
Utah,11.8,"(8.7, 15.9)"
Vermont,11.4,"(6.6, 19.2)"
Virgin Islands,Insufficient data*,Insufficient data*
Virginia,11.8,"(8.7, 15.7)"
Washington,12.7,"(11.4, 14.0)"
West Virginia,Insufficient data*,Insufficient data*
Wisconsin,16.0,"(12.2, 20.7)"
Wyoming,Insufficient data*,Insufficient data*
