State,Prevalence,95% CI
Alabama,33.2,"(26.9, 40.1)"
Alaska,36.1,"(31.2, 41.4)"
Arizona,39.1,"(36.9, 41.3)"
Arkansas,35.6,"(30.8, 40.8)"
California,36.5,"(35.1, 38.0)"
Colorado,31.2,"(29.5, 32.9)"
Connecticut,37.1,"(34.6, 39.7)"
Delaware,31.7,"(27.5, 36.1)"
District of Columbia,26.9,"(22.6, 31.8)"
Florida,30.7,"(28.3, 33.3)"
Georgia,34.7,"(31.2, 38.4)"
Guam,35.9,"(25.5, 47.8)"
Hawaii,33.5,"(30.4, 36.7)"
Idaho,35.7,"(32.6, 39.0)"
Illinois,38.7,"(36.4, 41.1)"
Indiana,38.3,"(35.5, 41.2)"
Iowa,38.1,"(35.2, 41.0)"
Kansas,39.0,"(36.0, 42.0)"
Kentucky,Insufficient data*,Insufficient data*
Louisiana,39.0,"(33.9, 44.4)"
Maine,34.2,"(28.3, 40.7)"
Maryland,36.5,"(34.2, 38.9)"
Massachusetts,34.3,"(32.0, 36.7)"
Michigan,39.8,"(35.5, 44.2)"
Minnesota,34.6,"(31.9, 37.3)"
Mississippi,34.7,"(26.8, 43.6)"
Missouri,34.8,"(30.1, 39.8)"
Montana,34.3,"(29.3, 39.7)"
Nebraska,37.9,"(35.6, 40.3)"
Nevada,36.9,"(33.4, 40.6)"
New Hampshire,38.7,"(32.0, 46.0)"
New Jersey,33.6,"(31.6, 35.6)"
New Mexico,38.5,"(36.2, 40.9)"
New York,33.5,"(32.2, 34.9)"
North Carolina,35.7,"(32.3, 39.3)"
North Dakota,35.6,"(29.6, 42.1)"
Ohio,35.9,"(31.4, 40.6)"
Oklahoma,42.1,"(39.0, 45.2)"
Oregon,37.9,"(35.1, 40.9)"
Pennsylvania,Insufficient data*,Insufficient data*
Puerto Rico,35.4,"(34.2, 36.6)"
Rhode Island,36.1,"(33.2, 39.1)"
South Carolina,33.7,"(29.7, 38.0)"
South Dakota,37.1,"(28.6, 46.5)"
Tennessee,Insufficient data*,Insufficient data*
Texas,37.6,"(35.9, 39.4)"
Utah,36.6,"(34.5, 38.7)"
Vermont,32.1,"(26.1, 38.6)"
Virgin Islands,35.3,"(26.4, 45.4)"
Virginia,32.2,"(28.7, 35.9)"
Washington,37.8,"(36.4, 39.4)"
West Virginia,36.5,"(28.2, 45.6)"
Wisconsin,37.3,"(34.3, 40.5)"
Wyoming,38.0,"(33.7, 42.5)"
