State,Prevalence,95% CI
Alabama,49.1,"(46.8, 51.3)"
Alaska,38.7,"(32.1, 45.8)"
Arizona,35.6,"(30.6, 40.8)"
Arkansas,47.6,"(44.3, 50.9)"
California,38.1,"(34.7, 41.5)"
Colorado,28.4,"(24.8, 32.2)"
Connecticut,40.4,"(37.1, 43.7)"
Delaware,46.2,"(42.8, 49.6)"
District of Columbia,37.3,"(35.0, 39.7)"
Florida,39.5,"(36.3, 42.9)"
Georgia,44.2,"(42.2, 46.2)"
Guam,Insufficient data*,Insufficient data*
Hawaii,34.9,"(27.1, 43.8)"
Idaho,26.2,"(16.0, 40.0)"
Illinois,43.1,"(40.2, 46.0)"
Indiana,44.4,"(41.8, 46.9)"
Iowa,40.3,"(35.3, 45.4)"
Kansas,41.9,"(38.0, 45.8)"
Kentucky,Insufficient data*,Insufficient data*
Louisiana,47.3,"(45.2, 49.5)"
Maine,36.9,"(29.1, 45.5)"
Maryland,41.3,"(39.8, 42.9)"
Massachusetts,35.4,"(32.2, 38.7)"
Michigan,43.4,"(40.9, 46.0)"
Minnesota,35.6,"(32.8, 38.6)"
Mississippi,47.4,"(45.0, 49.8)"
Missouri,42.5,"(39.5, 45.6)"
Montana,41.7,"(26.9, 58.2)"
Nebraska,36.7,"(32.5, 41.2)"
Nevada,37.4,"(31.8, 43.3)"
New Hampshire,32.1,"(22.3, 43.8)"
New Jersey,37.7,"(35.1, 40.5)"
New Mexico,42.2,"(32.1, 53.0)"
New York,36.2,"(34.5, 38.0)"
North Carolina,45.3,"(42.6, 48.1)"
North Dakota,27.6,"(21.7, 34.4)"
Ohio,42.8,"(40.0, 45.6)"
Oklahoma,45.8,"(42.1, 49.6)"
Oregon,31.0,"(24.2, 38.8)"
Pennsylvania,Insufficient data*,Insufficient data*
Puerto Rico,Insufficient data*,Insufficient data*
Rhode Island,36.8,"(31.6, 42.3)"
South Carolina,45.2,"(43.1, 47.4)"
South Dakota,29.1,"(17.9, 43.7)"
Tennessee,Insufficient data*,Insufficient data*
Texas,43.7,"(40.6, 46.9)"
Utah,40.2,"(31.7, 49.3)"
Vermont,22.6,"(16.1, 30.7)"
Virgin Islands,36.3,"(31.8, 41.0)"
Virginia,45.8,"(43.4, 48.2)"
Washington,36.3,"(33.6, 39.1)"
West Virginia,45.1,"(38.8, 51.6)"
Wisconsin,45.1,"(41.6, 48.6)"
Wyoming,40.5,"(25.6, 57.2)"
