State,Obesity,Inactivity,Tobacco,BusinessStrategy,RecommendedBusinessStrategy,PricingRecommendation,UnderwritingRecommendation,MarketCluster,MarketSegment,ProductRecommendation
Alabama,36.46666666666667,28.433333333333334,23.76875,Enhanced Risk Review,Enhanced Risk Review,Consider rate revision or additional underwriting review,Flag for deeper regional risk assessment,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Alaska,33.900000000000006,22.599999999999998,24.8625,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Arizona,33.733333333333334,23.7,19.85,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,1,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Arkansas,37.077777777777776,31.580000000000002,24.725,Enhanced Risk Review,Enhanced Risk Review,Consider rate revision or additional underwriting review,Flag for deeper regional risk assessment,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
California,30.266666666666666,22.099999999999998,16.0125,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,1,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Colorado,25.644444444444446,20.116666666666667,20.05,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,1,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Connecticut,31.377777777777776,25.933333333333337,18.61875,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,1,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Delaware,33.6,28.416666666666668,22.48125,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
District of Columbia,24.3875,20.6,19.246666666666666,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,1,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Florida,29.833333333333332,26.650000000000002,21.0375,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,1,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Georgia,32.44444444444444,28.316666666666666,21.24375,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Guam,34.22857142857143,23.950000000000003,29.342857142857145,Enhanced Risk Review,Enhanced Risk Review,Consider rate revision or additional underwriting review,Flag for deeper regional risk assessment,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Hawaii,26.844444444444445,20.6,18.126666666666665,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,1,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Idaho,33.975,26.4,19.0125,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,1,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Illinois,33.27777777777778,26.616666666666664,21.88125,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Indiana,35.28888888888889,29.516666666666666,25.86875,Enhanced Risk Review,Enhanced Risk Review,Consider rate revision or additional underwriting review,Flag for deeper regional risk assessment,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Iowa,36.31111111111111,29.416666666666668,21.34375,Enhanced Risk Review,Enhanced Risk Review,Consider rate revision or additional underwriting review,Flag for deeper regional risk assessment,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Kansas,36.08888888888889,26.650000000000002,20.16875,Enhanced Risk Review,Enhanced Risk Review,Consider rate revision or additional underwriting review,Flag for deeper regional risk assessment,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Kentucky,37.475,31.816666666666666,29.0,Enhanced Risk Review,Enhanced Risk Review,Consider rate revision or additional underwriting review,Flag for deeper regional risk assessment,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Louisiana,36.71111111111111,30.13333333333333,23.7875,Enhanced Risk Review,Enhanced Risk Review,Consider rate revision or additional underwriting review,Flag for deeper regional risk assessment,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Maine,34.9875,28.083333333333332,21.89375,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Maryland,31.377777777777776,25.2,19.2125,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,1,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Massachusetts,27.933333333333334,27.96666666666667,18.70625,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,1,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Michigan,34.68888888888889,25.8,23.60625,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Minnesota,33.21111111111111,26.05,19.375,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,1,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Mississippi,39.9875,31.883333333333336,24.06875,Enhanced Risk Review,Enhanced Risk Review,Consider rate revision or additional underwriting review,Flag for deeper regional risk assessment,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Missouri,33.666666666666664,27.083333333333332,25.34375,Enhanced Risk Review,Enhanced Risk Review,Consider rate revision or additional underwriting review,Flag for deeper regional risk assessment,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Montana,33.9875,24.083333333333332,19.9375,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,1,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Nebraska,35.544444444444444,28.799999999999997,20.56875,Enhanced Risk Review,Enhanced Risk Review,Consider rate revision or additional underwriting review,Flag for deeper regional risk assessment,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Nevada,33.48888888888889,26.78333333333333,25.4375,Enhanced Risk Review,Enhanced Risk Review,Consider rate revision or additional underwriting review,Flag for deeper regional risk assessment,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
New Hampshire,30.41111111111111,28.116666666666664,21.26875,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,1,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
New Mexico,36.1375,22.983333333333334,21.25625,Enhanced Risk Review,Enhanced Risk Review,Consider rate revision or additional underwriting review,Flag for deeper regional risk assessment,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
New York,29.799999999999997,28.483333333333334,20.6375,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,1,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
North Carolina,33.27777777777778,26.099999999999998,23.85625,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
North Dakota,34.733333333333334,29.783333333333335,20.76875,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Ohio,34.544444444444444,29.0,24.71875,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Oklahoma,36.41111111111111,30.0,24.95,Enhanced Risk Review,Enhanced Risk Review,Consider rate revision or additional underwriting review,Flag for deeper regional risk assessment,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Oregon,32.97777777777778,23.099999999999998,19.7625,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,1,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Pennsylvania,34.425,27.349999999999998,22.95,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Puerto Rico,36.3,42.266666666666666,12.986666666666668,Enhanced Risk Review,Enhanced Risk Review,Consider rate revision or additional underwriting review,Flag for deeper regional risk assessment,2,Inactivity-Driven Market Segment,"Offer fitness-based discounts, activity tracking incentives, and preventative care programs"
Rhode Island,31.444444444444443,27.2,20.875,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,1,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
South Carolina,32.266666666666666,27.8,23.4625,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
South Dakota,36.7625,24.95,21.0375,Enhanced Risk Review,Enhanced Risk Review,Consider rate revision or additional underwriting review,Flag for deeper regional risk assessment,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Texas,34.97777777777778,26.400000000000002,20.787499999999998,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Utah,31.65555555555555,21.633333333333336,11.75,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,1,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Vermont,27.522222222222222,22.183333333333334,20.1375,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,1,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Virginia,31.82222222222222,24.78333333333333,21.2,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,1,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Washington,32.166666666666664,21.433333333333334,19.49375,Standard Product Review,Standard Product Review,Standard pricing approach,Proceed with normal underwriting workflow,1,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
West Virginia,42.9125,27.639999999999997,26.86875,Enhanced Risk Review,Enhanced Risk Review,Consider rate revision or additional underwriting review,Flag for deeper regional risk assessment,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Wisconsin,37.099999999999994,26.099999999999998,21.925,Enhanced Risk Review,Enhanced Risk Review,Consider rate revision or additional underwriting review,Flag for deeper regional risk assessment,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
Wyoming,35.7625,25.383333333333336,22.31875,Enhanced Risk Review,Enhanced Risk Review,Consider rate revision or additional underwriting review,Flag for deeper regional risk assessment,0,Obesity-Driven Market Segment,Develop wellness-focused products with nutrition and weight management incentives
